t,ModAuth,CheckIntBrokerConf,Sniffing,AllTopicSubs,MITM,CheckFWInt,ProgDownload,CheckSysInt,ModParCmd,BlockCmd,ManControl,SpoofRepBF,NonExTopic,MsgFreqBF,ModParRep,BlockRep,MsgFreqBlock,SpoofRepInfo,MsgFreqInfo,ManView,Compromise
0,0,0,0,0,0,0.01000000000000001,0,0,0,0,0,0,0,0,0,0,0.01000000000000001,0,0.01000000000000001,0,0
0.42583392476934,0.9999994082586139,0,0,0,0,0.01000000000000001,0,0,0,0,0,0,0,0,0,0,0.01000000000000001,0,0.01000000000000001,0,0
0.85166784953868,0.9999999999996497,0,0.9903285391578054,0,0.9920490792498691,0.9822080976648718,0,0,0,0,0,0.9998982468735713,0,0,0,0,0.01000000000000001,0,0.01000000000000001,0.9998982468735712,0.9998982468735712
1.27750177430802,1,0,0.9999064685124883,0,0.9999367875263608,0.9899380517758339,0.9841619580098743,0,0,0,0,0.9999999897061566,0,0,0,0,0.01000000000000001,0.02108577443203277,0.03066405894339213,0.9999999899219408,0.9999999899219408
1.70333569907736,1,0,0.9999990954686924,0,0.9999994974397401,0.989999507490945,0.9998113723674354,0,0.01396965163960071,0.008381790983760472,0.02223246759165416,0.9999999999989585,0,0,0.04190895491880229,0.01047723872970061,0.02026769395510659,0.04192652732231926,0.0510879967758729,0.9999999999990538,0.9999999999990745
2.1291696238467,1,0,0.9999999912523906,0,0.9999999960044783,0.9899999960843887,0.9999980017826348,0,0.02796314661089706,0.01682547797922116,0.04431622234545683,0.9999999999999998,0,0,0.08269968951562121,0.02100953965558139,0.0305893488624698,0.06232551741769981,0.07107900706934583,0.9999999999999993,1
2.55500354861604,1,0,0.9999999999154028,0,0.9999999999682344,0.9899999999688696,0.999999980149749,0,0.04176066052390962,0.02519884226995288,0.06590531549861674,1,0,0,0.1217613635653167,0.03143170213386805,0.0408030680911907,0.08229019748515246,0.09064439353544937,1,1
2.98083747338538,1,0,0.9999999999991817,0,0.9999999999997475,0.9899999999997526,0.9999999998106703,0,0.05536235420206204,0.03350091015821235,0.08700675026793854,0.9999999999999997,0,0,0.159159743263731,0.04174293291473263,0.05090807425643803,0.1018297958335608,0.1097931999168897,0.9999999999999998,1
3.40667139815472,1,0,0.9999999999999919,0,0.999999999999998,0.9899999999999979,0.999999999998244,0,0.06877097940587466,0.04173227217086638,0.107631498732006,1,0,0,0.1949655739186751,0.05194439210808902,0.06090550426592727,0.1209533629910972,0.1285342957312753,1,1
3.83250532292406,1,0,0.9999999999999998,0,0.9999999999999998,0.9900000000000001,0.9999999999999839,0,0.08198927636247326,0.04989353032127699,0.1277903289151329,1,0,0,0.2292466708418647,0.06203724811827523,0.07079650315590978,0.1396697569657367,0.1468763618264219,1,1
4.2583392476934,1,0,1,0,1,0.9899999999999999,0.9999999999999999,0,0.09501994667670333,0.05798528165991758,0.1474937660249493,0.9999999999999998,0,0,0.2620679623603085,0.07202265711630629,0.08058220397398015,0.1579876471651886,0.1648278942218849,1,1
4.68417317246274,0.9999999999999999,0,1.000000000000001,0,1.000000000000001,0.99,1.000000000000001,0,0.1078656536081908,0.06600811815394242,0.1667520975061416,1,0,0,0.2934916119404227,0.08190176296673597,0.09026372770740126,0.1759155184107843,0.1823972080425686,1.000000000000001,0.9999999999999999
5.11000709723208,0.9999999999999999,0,0.9999999999999996,0,1,0.99,1,0,0.1205290226130426,0.07396262672892658,0.1855753784074571,0.9999999999999998,0,0,0.3235771359174101,0.09167569735672812,0.09984218340959361,0.1934616748676165,0.1995924413702642,1,1
5.53584102200142,1,0,1,0,1,0.99,0.9999999999999999,0,0.133012641880423,0.08184938931178887,0.2039734366315485,1,0,0,0.3523815162190103,0.1013455799256772,0.1093186683271635,0.2106342438910171,0.2164215590131968,1,1
5.96167494677076,1,0,0.9999999999999999,0,1,0.99,1,0,0.1453190628615383,0.08966898287336339,0.2219558780662614,0.9999999999999998,0,0,0.3799593082891735,0.1109125183934662,0.1186942680255969,0.2274411797911373,0.2328923561953147,0.9999999999999999,1
6.3875088715401,1,0,0.9999999999999999,0,1,0.99,1,0,0.1574508007911119,0.09742197947060943,0.2395320916000052,0.9999999999999999,0,0,0.4063627444159651,0.1203776086873612,0.127970056513614,0.243890267517373,0.2490124621670257,1,1
6.81334279630944,1,0,1,0,1,0.9899999999999999,1,0,0.1694103352014581,0.1051089462884609,0.2567112540238247,0.9999999999999994,0,0,0.4316418326594302,0.1297419350675526,0.1371470963662016,0.2599891262643416,0.2647893437390549,1,1
7.23917672107878,0.9999999999999999,0,0.9999999999999999,0,0.9999999999999998,0.99,0.9999999999999997,0,0.1812001104292585,0.1127304456813202,0.2735023348227341,0.9999999999999999,0,0,0.4558444515667645,0.1390065702513615,0.1462264388463343,0.2757452130010842,0.2802303087410624,0.9999999999999998,1
7.66501064584812,0.9999999999999999,0,1,0,1,0.9899999999999999,1,0,0.1928225361151454,0.1202870352141974,0.2899141008588116,1,0,0,0.4790164408541981,0.1481725755361235,0.155209124025401,0.2911658259251206,0.2953425094066183,1,1
8.09084457061746,0.9999999999999999,0,1,0,1,0.99,1,0,0.2042799876961938,0.1277792677035016,0.3059551209485036,0.9999999999999998,0,0,0.5012016882273337,0.1572410009207638,0.1640961809023485,0.3062581078429676,0.3101329456861083,1,1
8.516678495386801,1,0,1,0,1,0.99,1,0,0.2155748068914216,0.1352076912574817,0.3216337703365255,1,0,0,0.5224422125043816,0.1662128852260785,0.172888627521557,0.3210290494786745,0.3246084684891009,1.000000000000001,0.9999999999999999
